trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1318,False,"{'a': 0.3, 'e': 0.751080475804817}",25,0,-149.28975710251376,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
1319,False,"{'a': 0.3, 'e': 0.7501123842102517}",25,0,-64.49471891502104,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
1320,False,"{'a': 0.3, 'e': 0.7491440425033233}",20,0,-125.29856006627197,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
1321,False,"{'a': 0.3, 'e': 0.7481754516523729}",20,1,-11.28866950196698,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
1322,False,"{'a': 0.3, 'e': 0.7472066126259918}",25,13,5.837565987344714,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.3, 'e': 0.7462375263930183}",20,0,-114.4222352387149,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
1324,False,"{'a': 0.3, 'e': 0.7452681939225394}",25,0,-48.59041901309132,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
1325,False,"{'a': 0.3, 'e': 0.7442986161838866}",20,4,-38.13585240111579,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
1326,False,"{'a': 0.3, 'e': 0.7433287941466382}",35,8,-122.77646105906146,"{0: 14, 1: 6, 2: 5, 3: 1, 4: 1}",1
1327,False,"{'a': 0.3, 'e': 0.7423587287806158}",25,16,0.9292466845002751,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
1328,False,"{'a': 0.3, 'e': 0.7413884210558851}",25,11,-9.620057488646799,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
1329,False,"{'a': 0.3, 'e': 0.7404178719427531}",20,11,-50.72568067468283,"{0: 6, 1: 0, 2: 0, 3: 3, 4: 0}",1
1330,False,"{'a': 0.3, 'e': 0.7394470824117695}",35,0,-94.38906742393237,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
1331,False,"{'a': 0.3, 'e': 0.7384760534337231}",20,0,-64.59885544576112,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1332,False,"{'a': 0.3, 'e': 0.7375047859796435}",30,11,-75.74233201757156,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
1333,False,"{'a': 0.3, 'e': 0.7365332810207974}",20,0,-102.53526330990633,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1334,False,"{'a': 0.3, 'e': 0.7355615395286903}",25,0,-66.56977289334914,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
1335,False,"{'a': 0.3, 'e': 0.7345895624750629}",20,0,-181.91792061384254,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
1336,False,"{'a': 0.3, 'e': 0.7336173508318931}",25,0,-66.71015915380217,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
1337,False,"{'a': 0.3, 'e': 0.7326449055713914}",35,15,-60.8743017200238,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
1338,False,"{'a': 0.3, 'e': 0.7316722276660039}",20,0,-78.43424741542191,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1339,False,"{'a': 0.3, 'e': 0.7306993180884078}",20,6,-17.537838781197472,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
1340,False,"{'a': 0.3, 'e': 0.729726177811513}",25,0,-80.83962834602525,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
1341,False,"{'a': 0.3, 'e': 0.7287528078084594}",20,0,-57.752305328903816,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
1342,False,"{'a': 0.3, 'e': 0.7277792090526172}",25,0,-146.2521342145894,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
1343,False,"{'a': 0.3, 'e': 0.7268053825175848}",20,2,-93.79032663252218,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 1}",1
1344,False,"{'a': 0.3, 'e': 0.725831329177189}",20,0,-37.07983587619874,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1345,False,"{'a': 0.3, 'e': 0.7248570500054825}",25,0,-33.72893582463259,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
